"","team.2","team.1","Id","Season","Pred","winner","t1.name","t2.name","winner.name"
"1",1114,1112,"2016_1112_1114",2016,0.480300694704055,1114,"Arizona","Ark Little Rock","Ark Little Rock"
"2",1122,1112,"2016_1112_1122",2016,0.532652652263641,1112,"Arizona","Austin Peay","Arizona"
"3",1122,1114,"2016_1114_1122",2016,0.615045368671417,1114,"Ark Little Rock","Austin Peay","Ark Little Rock"
"4",1124,1112,"2016_1112_1124",2016,0.604387307167053,1112,"Arizona","Baylor","Arizona"
"5",1124,1114,"2016_1114_1124",2016,0.682795488834381,1114,"Ark Little Rock","Baylor","Ark Little Rock"
"6",1124,1122,"2016_1122_1124",2016,0.482792246341705,1124,"Austin Peay","Baylor","Baylor"
"7",1138,1112,"2016_1112_1138",2016,0.519604861736298,1112,"Arizona","Buffalo","Arizona"
"8",1138,1114,"2016_1114_1138",2016,0.618422746658325,1114,"Ark Little Rock","Buffalo","Ark Little Rock"
"9",1138,1122,"2016_1122_1138",2016,0.400407338142395,1138,"Austin Peay","Buffalo","Buffalo"
"10",1138,1124,"2016_1124_1138",2016,0.495044922828675,1138,"Baylor","Buffalo","Buffalo"
"11",1139,1112,"2016_1112_1139",2016,0.454127937555313,1139,"Arizona","Butler","Butler"
"12",1139,1114,"2016_1114_1139",2016,0.564831113815307,1114,"Ark Little Rock","Butler","Ark Little Rock"
"13",1139,1122,"2016_1122_1139",2016,0.356027996540069,1139,"Austin Peay","Butler","Butler"
"14",1139,1124,"2016_1124_1139",2016,0.411778157949448,1139,"Baylor","Butler","Butler"
"15",1139,1138,"2016_1138_1139",2016,0.377124941349029,1139,"Buffalo","Butler","Butler"
"16",1143,1112,"2016_1112_1143",2016,0.63233517408371,1112,"Arizona","California","Arizona"
"17",1143,1114,"2016_1114_1143",2016,0.722304809093476,1114,"Ark Little Rock","California","Ark Little Rock"
"18",1143,1122,"2016_1122_1143",2016,0.496079802513123,1143,"Austin Peay","California","California"
"19",1143,1124,"2016_1124_1143",2016,0.583864283561707,1124,"Baylor","California","Baylor"
"20",1143,1138,"2016_1138_1143",2016,0.515072190761566,1138,"Buffalo","California","Buffalo"
"21",1143,1139,"2016_1139_1143",2016,0.601866340637207,1139,"Butler","California","Butler"
"22",1151,1112,"2016_1112_1151",2016,0.49779589176178,1151,"Arizona","Chattanooga","Chattanooga"
"23",1151,1114,"2016_1114_1151",2016,0.605554878711701,1114,"Ark Little Rock","Chattanooga","Ark Little Rock"
"24",1151,1122,"2016_1122_1151",2016,0.368412548303604,1151,"Austin Peay","Chattanooga","Chattanooga"
"25",1151,1124,"2016_1124_1151",2016,0.458343309164047,1151,"Baylor","Chattanooga","Chattanooga"
"26",1151,1138,"2016_1138_1151",2016,0.386914080381393,1151,"Buffalo","Chattanooga","Chattanooga"
"27",1151,1139,"2016_1139_1151",2016,0.48550615310669,1151,"Butler","Chattanooga","Chattanooga"
"28",1151,1143,"2016_1143_1151",2016,0.511845052242279,1143,"California","Chattanooga","California"
"29",1153,1112,"2016_1112_1153",2016,0.491340136528015,1153,"Arizona","Cincinnati","Cincinnati"
"30",1153,1114,"2016_1114_1153",2016,0.599451911449432,1114,"Ark Little Rock","Cincinnati","Ark Little Rock"
"31",1153,1122,"2016_1122_1153",2016,0.398015439510345,1153,"Austin Peay","Cincinnati","Cincinnati"
"32",1153,1124,"2016_1124_1153",2016,0.462205010652542,1153,"Baylor","Cincinnati","Cincinnati"
"33",1153,1138,"2016_1138_1153",2016,0.416644698381424,1153,"Buffalo","Cincinnati","Cincinnati"
"34",1153,1139,"2016_1139_1153",2016,0.504412794113159,1139,"Butler","Cincinnati","Butler"
"35",1153,1143,"2016_1143_1153",2016,0.536018586158752,1143,"California","Cincinnati","California"
"36",1153,1151,"2016_1151_1153",2016,0.582891023159027,1151,"Chattanooga","Cincinnati","Chattanooga"
"37",1160,1112,"2016_1112_1160",2016,0.604019176959992,1112,"Arizona","Colorado","Arizona"
"38",1160,1114,"2016_1114_1160",2016,0.690157794952392,1114,"Ark Little Rock","Colorado","Ark Little Rock"
"39",1160,1122,"2016_1122_1160",2016,0.482066798210144,1160,"Austin Peay","Colorado","Colorado"
"40",1160,1124,"2016_1124_1160",2016,0.571429371833801,1124,"Baylor","Colorado","Baylor"
"41",1160,1138,"2016_1138_1160",2016,0.500586712360382,1138,"Buffalo","Colorado","Buffalo"
"42",1160,1139,"2016_1139_1160",2016,0.579715573787689,1139,"Butler","Colorado","Butler"
"43",1160,1143,"2016_1143_1160",2016,0.607378733158111,1143,"California","Colorado","California"
"44",1160,1151,"2016_1151_1160",2016,0.682204782962799,1151,"Chattanooga","Colorado","Chattanooga"
"45",1160,1153,"2016_1153_1160",2016,0.599675285816193,1153,"Cincinnati","Colorado","Cincinnati"
"46",1163,1112,"2016_1112_1163",2016,0.489160656929016,1163,"Arizona","Connecticut","Connecticut"
"47",1163,1114,"2016_1114_1163",2016,0.621103274822235,1114,"Ark Little Rock","Connecticut","Ark Little Rock"
"48",1163,1122,"2016_1122_1163",2016,0.395720016956329,1163,"Austin Peay","Connecticut","Connecticut"
"49",1163,1124,"2016_1124_1163",2016,0.467779010534287,1163,"Baylor","Connecticut","Connecticut"
