,team.2,team.1,Id,Season,Pred,winner,t1.name,t2.name,winner.name
1,1114,1112,2016_1112_1114,2016,0.563852693,1112,Arizona,Ark Little Rock,Arizona
2,1122,1112,2016_1112_1122,2016,0.642072908,1112,Arizona,Austin Peay,Arizona
4,1124,1112,2016_1112_1124,2016,0.543567322,1112,Arizona,Baylor,Arizona
7,1138,1112,2016_1112_1138,2016,0.610032017,1112,Arizona,Buffalo,Arizona
11,1139,1112,2016_1112_1139,2016,0.513140116,1112,Arizona,Butler,Arizona
16,1143,1112,2016_1112_1143,2016,0.545764998,1112,Arizona,California,Arizona
22,1151,1112,2016_1112_1151,2016,0.57341393,1112,Arizona,Chattanooga,Arizona
29,1153,1112,2016_1112_1153,2016,0.534233499,1112,Arizona,Cincinnati,Arizona
37,1160,1112,2016_1112_1160,2016,0.579812207,1112,Arizona,Colorado,Arizona
46,1163,1112,2016_1112_1163,2016,0.533426631,1112,Arizona,Connecticut,Arizona
56,1167,1112,2016_1112_1167,2016,0.615251858,1112,Arizona,CS Bakersfield,Arizona
67,1173,1112,2016_1112_1173,2016,0.560784514,1112,Arizona,Dayton,Arizona
79,1181,1112,2016_1112_1181,2016,0.509617368,1112,Arizona,Duke,Arizona
92,1192,1112,2016_1112_1192,2016,0.62927563,1112,Arizona,F Dickinson,Arizona
106,1195,1112,2016_1112_1195,2016,0.641364215,1112,Arizona,FL Gulf Coast,Arizona
121,1201,1112,2016_1112_1201,2016,0.596875051,1112,Arizona,Fresno St,Arizona
137,1211,1112,2016_1112_1211,2016,0.551179924,1112,Arizona,Gonzaga,Arizona
154,1214,1112,2016_1112_1214,2016,0.621329745,1112,Arizona,Hampton,Arizona
172,1218,1112,2016_1112_1218,2016,0.549811916,1112,Arizona,Hawaii,Arizona
191,1221,1112,2016_1112_1221,2016,0.64762624,1112,Arizona,Holy Cross,Arizona
211,1231,1112,2016_1112_1231,2016,0.495874874,1231,Arizona,Indiana,Indiana
232,1233,1112,2016_1112_1233,2016,0.582996033,1112,Arizona,Iona,Arizona
254,1234,1112,2016_1112_1234,2016,0.533404398,1112,Arizona,Iowa,Arizona
277,1235,1112,2016_1112_1235,2016,0.553559119,1112,Arizona,Iowa St,Arizona
301,1242,1112,2016_1112_1242,2016,0.470950418,1242,Arizona,Kansas,Kansas
326,1246,1112,2016_1112_1246,2016,0.525126481,1112,Arizona,Kentucky,Arizona
352,1268,1112,2016_1112_1268,2016,0.523621239,1112,Arizona,Maryland,Arizona
379,1274,1112,2016_1112_1274,2016,0.517758813,1112,Arizona,Miami FL,Arizona
407,1276,1112,2016_1112_1276,2016,0.563409986,1112,Arizona,Michigan,Arizona
436,1277,1112,2016_1112_1277,2016,0.464246527,1277,Arizona,Michigan St,Michigan St
466,1292,1112,2016_1112_1292,2016,0.608200413,1112,Arizona,MTSU,Arizona
497,1314,1112,2016_1112_1314,2016,0.482398265,1314,Arizona,North Carolina,North Carolina
529,1320,1112,2016_1112_1320,2016,0.59540349,1112,Arizona,Northern Iowa,Arizona
562,1323,1112,2016_1112_1323,2016,0.566711131,1112,Arizona,Notre Dame,Arizona
